Termo ou Expressão,Uso,Contexto,Grau de Ofensividade,Fonte
boca de sepulcro,"@Biakicis @VEJA Sua velha FDP @Biakicis  quando é parte da oposição vc abre essa tua boca de sepulcro pra vomitar asneiras, mas quando é o teu MICto e a FAMILICIA vc fica quietinha né. Vá pra PQP!!!",Insinua que o alvo fala bobeiras,Insulto,Mapa da Violência Política de Gênero
fdp/ filha da puta,"@Biakicis @VEJA Sua velha FDP @Biakicis  quando é parte da oposição vc abre essa tua boca de sepulcro pra vomitar asneiras, mas quando é o teu MICto e a FAMILICIA vc fica quietinha né. Vá pra PQP!!!",Xingamento direto contra o alvo,Insulto,Mapa da Violência Política de Gênero
Vá pra pqp / Vai pra pqp / vai pra puta que pariu / vai pra puta que te pariu,"@Biakicis @VEJA Sua velha FDP @Biakicis  quando é parte da oposição vc abre essa tua boca de sepulcro pra vomitar asneiras, mas quando é o teu MICto e a FAMILICIA vc fica quietinha né. Vá pra PQP!!!",Xingamento direto contra o alvo,Insulto,Mapa da Violência Política de Gênero
velha,"@Biakicis @VEJA Sua velha FDP @Biakicis  quando é parte da oposição vc abre essa tua boca de sepulcro pra vomitar asneiras, mas quando é o teu MICto e a FAMILICIA vc fica quietinha né. Vá pra PQP!!!",Utiliza a idade para ofender o alvo,Insulto,Mapa da Violência Política de Gênero
vomita (.*) / vomitar (.*),"@Biakicis @VEJA Sua velha FDP @Biakicis  quando é parte da oposição vc abre essa tua boca de sepulcro pra vomitar asneiras, mas quando é o teu MICto e a FAMILICIA vc fica quietinha né. Vá pra PQP!!!",Insinua que o alvo fala bobeiras,Invalidação,Mapa da Violência Política de Gênero
mulherzinha,@Biakicis @WRosarioCGU Essa mulherzinha sabe ser sórdida. 🤮🤮,É usado para desqualificar o alvo,Insulto,Mapa da Violência Política de Gênero
sórdida,@Biakicis @WRosarioCGU Essa mulherzinha sabe ser sórdida. 🤮🤮,Questiona a moral do alvo,Insulto,Mapa da Violência Política de Gênero
péssima índole,"@Biakicis É medo de ser confundido com a sua laia bolsonarista! Quem utiliza máscara em locais públicos e ao ar livre tem a sensatez que vc, pessoa de péssima índole, nao tem!!",Questiona a moral do alvo,Insulto,Mapa da Violência Política de Gênero
sua laia,"@Biakicis É medo de ser confundido com a sua laia bolsonarista! Quem utiliza máscara em locais públicos e ao ar livre tem a sensatez que vc, pessoa de péssima índole, nao tem!!",É usado para desqualificar o alvo,Insulto,Mapa da Violência Política de Gênero
isso já é feio em (.*) imagina em (.*),"@CarlaZambelli38 @COP26 Não tendo nada pra falar de positivo do  Presidente Bolsonaro, sai falando mal de qualquer um. Isso já e feio em crianças. Imagina em adulto.",É usado para expressão descontentamento com as atitudes do alvo,Invalidação,Mapa da Violência Política de Gênero
voltar pra lata de lixo/ voltar pro lixo,"@CarlaZambelli38 @DamaresAlves 🤣🤣🤣🤣 Cada dia que passa, mais o desespero de vocês aumenta. A extrema direita, foi apenas um delírio coletivo que, infelizmente no Brasil levou mais de 600 mil vidas. Vocês vão voltar pra lata de lixo. Ps. Vê logo se o femen ainda te aceita.",É usado para desqualificar o alvo,Insulto,Mapa da Violência Política de Gênero
canalhas,"@CarlaZambelli38 @LRobertoBarroso Tanta coisa pra vcs se preocuparem, seus canalhas😡 https://t.co/gysYmXgo7P",Questiona a moral do alvo,Insulto,Mapa da Violência Política de Gênero
pq vcs não vão (.*),"@CarlaZambelli38 @MajorVitorHugo Meu Deus pq vcs não vão trabalhar,um dia so trabalhe para o povo ,para o pobre para o trabalhador,impressionante como esses deputados ficam 365 dias no ano atras de Bolsonaro e não trabalham!",É usado para indicar que fará/deseja fazer/deseja que aconteça algo contra o alvo,Crítica,Mapa da Violência Política de Gênero
vão trabalhar/ vai trabalhar,"@CarlaZambelli38 @MajorVitorHugo Meu Deus pq vcs não vão trabalhar,um dia so trabalhe para o povo ,para o pobre para o trabalhador,impressionante como esses deputados ficam 365 dias no ano atras de Bolsonaro e não trabalham!",Insinua que o alvo é desimportante,Crítica,Mapa da Violência Política de Gênero
ridículas,@CarlaZambelli38 @taoquei1 Duas ridículas!!,Xingamento direto contra o alvo,Insulto,Mapa da Violência Política de Gênero
arregou/arregona,"@CarlaZambelli38 Carlinha... Arregou? O Presida ""deu pra trás""? O BOZO ""deu ré no kibe""? Kkkkkkkkkkk... Chora mais, Carlinha!",Questiona a coragem do alvo,Insulto,Mapa da Violência Política de Gênero
chora,"@CarlaZambelli38 Carlinha... Arregou? O Presida ""deu pra trás""? O BOZO ""deu ré no kibe""? Kkkkkkkkkkk... Chora mais, Carlinha!",Utiliza o sarcasmo para debochar de uma situação na qual o alvo estaria insatisfeito,Invalidação,Mapa da Violência Política de Gênero
deu ré no kibe,"@CarlaZambelli38 Carlinha... Arregou? O Presida ""deu pra trás""? O BOZO ""deu ré no kibe""? Kkkkkkkkkkk... Chora mais, Carlinha!",Faz referência a uma posição sexual,Insulto,Mapa da Violência Política de Gênero
Toma vergonha,@CarlaZambelli38 Conseguiram o que queriam forçar o voto impresso a ir a plenario mesmo derrotado por 23 a 11 e agora sofreram mais uma derrota e não se conformam! Mal perdedores é pouco! Falam tanto de democracia e não aceitam a escolha democrática! Toma vergonha Carlinha!,Indica que o alvo não deve se manifestar ou tecer opiniões,Invalidação,Mapa da Violência Política de Gênero
está delirando/ tá delirando,@CarlaZambelli38 Essa velha esqueceu de tomar o ômega 3 ta delirando aqui no Twitter,Questiona a sanidade do alvo,Invalidação,Mapa da Violência Política de Gênero
velha,@CarlaZambelli38 Essa velha esqueceu de tomar o ômega 3 ta delirando aqui no Twitter,Utiliza a idade para ofender o alvo,Invalidação,Mapa da Violência Política de Gênero
frouxura/frouxa,@CarlaZambelli38 FROUXURA do Planalto. Até quando??? 😡😡😡🇧🇷😎👉👉,Questiona a coragem do alvo,Insulto,Mapa da Violência Política de Gênero
Inveja mata,@CarlaZambelli38 Quando vivemos no banheiro nunca saímos dele. Inveja mata!!!!,Questiona a moral do alvo,Invalidação,Mapa da Violência Política de Gênero
loka,@CarlaZambelli38 Sai dae loka,Questiona a sanidade do alvo,Invalidação,Mapa da Violência Política de Gênero
sai daí/sai dae,@CarlaZambelli38 Sai dae loka,Indica que o alvo não deve se manifestar ou tecer opiniões,Invalidação,Mapa da Violência Política de Gênero
vai ser trancada/vão ser trancados,@CarlaZambelli38 Vão ser trancados juntinhos pra parar de ameaçar e insuflar o gado golpista.,Insinua uma ação violenta contra o alvo,Ameaça,Mapa da Violência Política de Gênero
asco/axco,"@CarolDeToni Essa mulher me dá Axco, fico me perguntando que tipo de gente Vota nessa Escória",Manifesta sentimentos de nojo contra o alvo,Insulto,Mapa da Violência Política de Gênero
escória,"@CarolDeToni Essa mulher me dá Axco, fico me perguntando que tipo de gente Vota nessa Escória",Xingamento direto contra o alvo,Insulto,Mapa da Violência Política de Gênero
essa mulher me dá (.*),"@CarolDeToni Essa mulher me dá Axco, fico me perguntando que tipo de gente Vota nessa Escória",Manifesta sentimentos de nojo contra o alvo,Insulto,Mapa da Violência Política de Gênero
quem vota nessa (.*),"@CarolDeToni Essa mulher me dá Axco, fico me perguntando que tipo de gente Vota nessa Escória",É usado para desqualificar o alvo,Invalidação,Mapa da Violência Política de Gênero
Será demitida,@deppimentel Será demitida em 2022. Ninguém esquece traição.,É usado para indicar que fará/deseja fazer/deseja que aconteça algo contra o alvo,Ameaça,Mapa da Violência Política de Gênero
(.*) calada,@Drago2787 @taoquei1 @SimoneTebetms Essa senhora perde a chance de permanecer calada sempre. Inoportuna!,Indica que o alvo não deve se manifestar ou tecer opiniões,Invalidação,Mapa da Violência Política de Gênero
inoportuna,@Drago2787 @taoquei1 @SimoneTebetms Essa senhora perde a chance de permanecer calada sempre. Inoportuna!,É usado para desqualificar o alvo,Crítica,Mapa da Violência Política de Gênero
perde a chance de (.*),@Drago2787 @taoquei1 @SimoneTebetms Essa senhora perde a chance de permanecer calada sempre. Inoportuna!,Indica que o alvo não deve se manifestar ou tecer opiniões,Invalidação,Mapa da Violência Política de Gênero
má intenção/ má intencionada,@elizianegama @rpsenador Ou vc é tapada ou de má intenção. Escolhe.,Questiona a moral do alvo,Crítica,Mapa da Violência Política de Gênero
tapada,@elizianegama @rpsenador Ou vc é tapada ou de má intenção. Escolhe.,É usado para desqualificar o alvo,Invalidação,Mapa da Violência Política de Gênero
🤡,@elizianegama 🤡🤡🤡🤡🤡🤡palhaça!!!!,É usado para desqualificar o alvo,Invalidação,Mapa da Violência Política de Gênero
palhaça,@elizianegama 🤡🤡🤡🤡🤡🤡palhaça!!!!,É usado para desqualificar o alvo,Invalidação,Mapa da Violência Política de Gênero
Zzzzzzz,@elizianegama ZZZZZZZZZZZZZZZZZZZZ,É usado para desqualificar o alvo,Invalidação,Mapa da Violência Política de Gênero
imunda,@erikakokay Arrepender de q lixo imunda,Questiona a moral do alvo,Insulto,Mapa da Violência Política de Gênero
lixo,@erikakokay Arrepender de q lixo imunda,É usado para estigmatizar e desumanizar o alvo,Insulto,Mapa da Violência Política de Gênero
cala sua latrina,"@erikakokay Fala besteira não. Pede para seu rato, Luladrao da uma voltinha nas ruas do Brasil. Seu carniça @LulaOficial sequer tem coragem de ir em uma praia sozinho. Cala sua latrina.",Indica que o alvo não deve se manifestar ou tecer opiniões,Insulto,Mapa da Violência Política de Gênero
fala besteira,"@erikakokay Fala besteira não. Pede para seu rato, Luladrao da uma voltinha nas ruas do Brasil. Seu carniça @LulaOficial sequer tem coragem de ir em uma praia sozinho. Cala sua latrina.",Insinua que o alvo fala bobeiras,Invalidação,Mapa da Violência Política de Gênero
falando M / falar M / fala M,"@erikakokay Fia, com certeza vc não está pura. Só tá falando M....., viaja não!!! Kkkk",Insinua que o alvo fala bobeiras,Invalidação,Mapa da Violência Política de Gênero
não está pura,"@erikakokay Fia, com certeza vc não está pura. Só tá falando M....., viaja não!!! Kkkk",Questiona a sanidade do alvo,Invalidação,Mapa da Violência Política de Gênero
viaja não,"@erikakokay Fia, com certeza vc não está pura. Só tá falando M....., viaja não!!! Kkkk",É usado para desqualificar o alvo,Invalidação,Mapa da Violência Política de Gênero
feia,@erikakokay Nem a senhora acredita nisto que escreveu .Sapateia mulher feia .,Faz referência à aparência do alvo,Insulto,Mapa da Violência Política de Gênero
nem (.*) acredita em (.*),@erikakokay Nem a senhora acredita nisto que escreveu .Sapateia mulher feia .,É usado para desqualificar o alvo,Invalidação,Mapa da Violência Política de Gênero
sapateia,@erikakokay Nem a senhora acredita nisto que escreveu .Sapateia mulher feia .,É usado como ofensa LGBTQfóbica,Insulto,Mapa da Violência Política de Gênero
maluca,@erikakokay Quem é essa velha? Como isso apareceu pra mim aqui na minha Tl? Esse povo do PT deveria aposentar ou ir jogar xadrez... cada velho mais maluco que outro,Questiona a sanidade do alvo,Invalidação,Mapa da Violência Política de Gênero
velha,@erikakokay Quem é essa velha? Como isso apareceu pra mim aqui na minha Tl? Esse povo do PT deveria aposentar ou ir jogar xadrez... cada velho mais maluco que outro,Utiliza a idade para ofender o alvo,Invalidação,Mapa da Violência Política de Gênero
posta merda/postando merda,@erikakokay Todo dia posta uma merda na Internet...,Insinua que o alvo fala bobeiras,Invalidação,Mapa da Violência Política de Gênero
louca,@fabifbbr @SorayaThronicke Eu sou bloqueado por essa louca da senadora! Traidora!!,Questiona a sanidade do alvo,Invalidação,Mapa da Violência Política de Gênero
traidora,@fabifbbr @SorayaThronicke Eu sou bloqueado por essa louca da senadora! Traidora!!,Questiona a moral do alvo,Insulto,Mapa da Violência Política de Gênero
chore,@fernandapsol Chore mais. #Bolsonaro2022,Utiliza o sarcasmo para debochar de uma situação na qual o alvo estaria insatisfeito,Invalidação,Mapa da Violência Política de Gênero
burra ,"@gleisi É muito burra mesmo, tem@q ser de esquerda mesmo",É usado para desqualificar o alvo,Invalidação,Mapa da Violência Política de Gênero
tem que ser (.)*/ tinha que ser (.*),"@gleisi É muito burra mesmo, tem@q ser de esquerda mesmo",É usado para desqualificar o alvo,Insulto,Mapa da Violência Política de Gênero
amante,"@gleisi Soa bem estranho alguém do #PtOrganizacaoCriminosa falar em liberdade de imprensa, pois não é o #LulaLadrao que diz que vai regulamentar a mídia, se eleito. #AmanteNaPlanilhaDaOdebretch",É usado para sexualizar o alvo,Insulto,Mapa da Violência Política de Gênero
(.*) não tem capacidade,@humbertocoutinh @mariadorosario Não tenho culpa se você não tem capacidade de entender. Aliás não contei nenhuma piada pra você está rindo. Quantos anos você tem ? 🤔,É usado para desqualificar o alvo,Invalidação,Mapa da Violência Política de Gênero
volta pra (.*),@jandira_feghali Bora voltar pra escola e aprender a construir frases e orações. Fica difícil até fazer crítica com uma desconstrução dessas. Taokey,É usado para indicar que fará/deseja fazer/deseja que aconteça algo contra o alvo,Invalidação,Mapa da Violência Política de Gênero
cala a boca,@jandira_feghali Cala a boca dragão,Indica que o alvo não deve se manifestar ou tecer opiniões,Invalidação,Mapa da Violência Política de Gênero
dragão,@jandira_feghali Cala a boca dragão,Faz referência à aparência do alvo,Insulto,Mapa da Violência Política de Gênero
falou aquela que (.*),"@jandira_feghali Falou aquela, que comemora até hoje a soltura do maior e eterno ladrão do Brasil, condenado a quase 30 anos de cadeia hahahahaha",É usado para desqualificar o alvo,Invalidação,Mapa da Violência Política de Gênero
vá te catar/ vai te catar/ vá se catar/vai se catar,@jandira_feghali Ha vá te catar... vá  procurar o que fazer e pare de tentar atrasar o desenvolvimento do pais .,Xingamento direto contra o alvo,Invalidação,Mapa da Violência Política de Gênero
vai procurar o que fazer/ vá procurar o que fazer,@jandira_feghali Ha vá te catar... vá  procurar o que fazer e pare de tentar atrasar o desenvolvimento do pais .,Insinua que o alvo é desimportante,Invalidação,Mapa da Violência Política de Gênero
mentirosa,@jandira_feghali Isso é feito todo ano. Sua mentirosa.,É usado para desqualificar o alvo,Insulto,Mapa da Violência Política de Gênero
jandragão,"@jandira_feghali Jandragão, depois que descobrimos o crime de prevaricação dos Ministros do STF quanto à inviolabilidade das urnas, parece que teremos não só o voto auditável, mas também uma CPI do TSE.",Faz referência à aparência do alvo,Insulto,Mapa da Violência Política de Gênero
nem pra (.*) serve,@jandira_feghali Tem que tirar sangue sugas como você ! Nem para reciclar serve .,É usado para desqualificar o alvo,Invalidação,Mapa da Violência Política de Gênero
sangue suga ,@jandira_feghali Tem que tirar sangue sugas como você ! Nem para reciclar serve .,Questiona a moral do alvo,Insulto,Mapa da Violência Política de Gênero
não se elege nem pra (.*),"@joicehasselmann @jairbolsonaro @mfriasoficial Pepa querida, você não se elege mais nem pra síndica de prédio. Para de portar besteira!!!",É usado para desqualificar o alvo,Invalidação,Mapa da Violência Política de Gênero
Pepa,"@joicehasselmann @jairbolsonaro @mfriasoficial Pepa querida, você não se elege mais nem pra síndica de prédio. Para de portar besteira!!!",Faz referência à aparência do alvo,Insulto,Mapa da Violência Política de Gênero
gado,@joicehasselmann @jairbolsonaro E vc gado que tá pagando.😂,É usado para desqualificar o alvo,Insulto,Mapa da Violência Política de Gênero
(.*) vai pagar por (.*),"@joicehasselmann @Raul_Jungmann Tá sentindo a pressão Pepa!? Tu vai pagar por perseguir os justos, por escolher o lado errado, por trair o país e quem votou em você, sua traíra! #Dia07VaiSerGIGANTE https://t.co/Yanz0yTT4c",É usado para indicar que fará/deseja fazer/deseja que aconteça algo contra o alvo,Ameaça,Mapa da Violência Política de Gênero
não ganha nem pra (.*),@joicehasselmann Não ganha nem pra síndica 😂😂. Eai já descobriu quem te deu aquele cassete que dizia não se lembrar ?,É usado para desqualificar o alvo,Invalidação,Mapa da Violência Política de Gênero
O (.*) não tinha te (.*),"@joicehasselmann Não lembro de vc falar algo sobre isso , esqueci,o Bolsonaro ainda não tinha te ajudado a entrar na política. https://t.co/GUAqyEyzml","Insinua que o alvo só conseguiu algo devido a um terceiro, geralmente homem.",Invalidação,Mapa da Violência Política de Gênero
traíra,@joicehasselmann Traira,Questiona a moral do alvo,Insulto,Mapa da Violência Política de Gênero
(.*) está na aba do (.*),"@joicehasselmann Vc em 2018, 🏄‍♀️ na aba do capitão, 1.0078,00. 2020, só vc mesmo, 100.000. Vc sem o capitão não é nada! Será que em 2022, vc vai ter mais de 10.000 votos, para deputada estadual","Insinua que o alvo só conseguiu algo devido a um terceiro, geralmente homem.",Invalidação,Mapa da Violência Política de Gênero
(.*) sem (.*) não é nada,"@joicehasselmann Vc em 2018, 🏄‍♀️ na aba do capitão, 1.0078,00. 2020, só vc mesmo, 100.000. Vc sem o capitão não é nada! Será que em 2022, vc vai ter mais de 10.000 votos, para deputada estadual","Insinua que o alvo só conseguiu algo devido a um terceiro, geralmente homem.",Invalidação,Mapa da Violência Política de Gênero
(.*) é uma decepção,@JoseMedeirosMT @SimoneTebetms é uma decepção.Uma pena...preferiu aderir a turma da gritaria.,É usado para expressão descontentamento com as atitudes do alvo,Crítica,Mapa da Violência Política de Gênero
(.*) é a maior decepção,@leiladovolei A Sra. Está sendo a maior decepção ao cargo que hoje ocupa.  Sua militância é vergonha para quem votou é acreditou que aquela menina que defendia as cores da camisa iria fazer na política a mesma coisa.,É usado para expressão descontentamento com as atitudes do alvo,Crítica,Mapa da Violência Política de Gênero
desgraçada,@lsentoes1 Eu votei na desgracada da @sorayathronicke olha o q virou akilo! Maldita!,Questiona a moral do alvo,Insulto,Mapa da Violência Política de Gênero
maldita,@lsentoes1 Eu votei na desgracada da @sorayathronicke olha o q virou akilo! Maldita!,Xingamento direto contra o alvo,Insulto,Mapa da Violência Política de Gênero
falta do que fazer,"@ManuelaDavila @samiabomfim Olha o que a falta do que fazer faz nas pessoas. A mulher está de licença maternidade, ou seja, está com seu filho e NÃO está trabalhando. Assim, não pode ser colocado como ""ausente"" nas votações? Sério, tá faltando trabalho aí para se ocupar?",Insinua que o alvo é desimportante,Invalidação,Mapa da Violência Política de Gênero
tá faltando (.*),"@ManuelaDavila @samiabomfim Olha o que a falta do que fazer faz nas pessoas. A mulher está de licença maternidade, ou seja, está com seu filho e NÃO está trabalhando. Assim, não pode ser colocado como ""ausente"" nas votações? Sério, tá faltando trabalho aí para se ocupar?",É usado para desqualificar o alvo,Invalidação,Mapa da Violência Política de Gênero
gado-petista,@MaraMar27888159 @DaniTsu2 @g1 @Biakicis 😂😂😂😂😂😂😂😂😂😂😂😂😂 JUMENTO IDOLÁTRA DE BANDIDO GADO-PETISTA: https://t.co/GR6OOpv4ti,É usado para desqualificar o alvo,Insulto,Mapa da Violência Política de Gênero
idólatra de (.*),@MaraMar27888159 @DaniTsu2 @g1 @Biakicis 😂😂😂😂😂😂😂😂😂😂😂😂😂 JUMENTO IDOLÁTRA DE BANDIDO GADO-PETISTA: https://t.co/GR6OOpv4ti,"Insinua que o alvo só conseguiu algo devido a um terceiro, geralmente homem.",Crítica,Mapa da Violência Política de Gênero
jumento,@MaraMar27888159 @DaniTsu2 @g1 @Biakicis 😂😂😂😂😂😂😂😂😂😂😂😂😂 JUMENTO IDOLÁTRA DE BANDIDO GADO-PETISTA: https://t.co/GR6OOpv4ti,É usado para desqualificar o alvo,Invalidação,Mapa da Violência Política de Gênero
Peppa,"@Marcosnegrada @joicehasselmann @jairbolsonaro @mfriasoficial Não importa Peppa é Peppa, mulher sem palavra e credibilidade.",Faz referência à aparência do alvo,Insulto,Mapa da Violência Política de Gênero
sem credibilidade,"@Marcosnegrada @joicehasselmann @jairbolsonaro @mfriasoficial Não importa Peppa é Peppa, mulher sem palavra e credibilidade.",É usado para desqualificar o alvo,Crítica,Mapa da Violência Política de Gênero
sem palavra,"@Marcosnegrada @joicehasselmann @jairbolsonaro @mfriasoficial Não importa Peppa é Peppa, mulher sem palavra e credibilidade.",Questiona a moral do alvo,Crítica,Mapa da Violência Política de Gênero
louca,@mariadorosario Vá a merda sua mentirosa o PT roubou e muito louca,Questiona a sanidade do alvo,Invalidação,Mapa da Violência Política de Gênero
mentirosa,@mariadorosario Vá a merda sua mentirosa o PT roubou e muito louca,É usado para desqualificar o alvo,Invalidação,Mapa da Violência Política de Gênero
Vá a merda/ Vai a merda,@mariadorosario Vá a merda sua mentirosa o PT roubou e muito louca,Xingamento direto contra o alvo,Insulto,Mapa da Violência Política de Gênero
vergonha é a sua (.*),@MrciaSa07810896 @CarlaZambelli38 Vergonha é essa sua sobrancelha desenhada com pincel atômico,É usado para expressão descontentamento com as atitudes do alvo,Insulto,Mapa da Violência Política de Gênero
inútil,@opropriocover @CarlaZambelli38 @GWagnerA @davialcolumbre Mas esse país é tão f0d1d0 que essa inútil vai sim ser reeleita.,Insinua que o alvo é desimportante,Invalidação,Mapa da Violência Política de Gênero
(.*) vai enterrar (.*),@RonanBotelho @PSDBoficial @joicehasselmann Por isso mesmo ela tá no lugar certo kkkkkkk vai enterrar de vez o PSDB kkkkk,Indica que o alvo vai prejudicar algo ou alguém,Invalidação,Mapa da Violência Política de Gênero
🍔,@samiabomfim 🍔🍕🍟🍧,Faz referência à aparência do alvo,Insulto,Mapa da Violência Política de Gênero
🍕,@samiabomfim 🍔🍕🍟🍧,Faz referência à aparência do alvo,Insulto,Mapa da Violência Política de Gênero
🍟,@samiabomfim 🍔🍕🍟🍧,Faz referência à aparência do alvo,Insulto,Mapa da Violência Política de Gênero
🍧,@samiabomfim 🍔🍕🍟🍧,Faz referência à aparência do alvo,Insulto,Mapa da Violência Política de Gênero
anta,"@samiabomfim Por isso que não dá pra levar petista a sério. Demagogia a gente vê pelos seus tuites! Comparar urna eletrônica com enquete pela Internet?! Daqui a pouco você vai concluir que poderemos votar pelo zap. Vc é uma anta, e perdoem as antas...",É usado para desqualificar o alvo,Invalidação,Mapa da Violência Política de Gênero
não dá pra levar (.*) a sério,"@samiabomfim Por isso que não dá pra levar petista a sério. Demagogia a gente vê pelos seus tuites! Comparar urna eletrônica com enquete pela Internet?! Daqui a pouco você vai concluir que poderemos votar pelo zap. Vc é uma anta, e perdoem as antas...",É usado para desqualificar o alvo,Invalidação,Mapa da Violência Política de Gênero
circo,@SimoneTebetms @antonionetopdt Circo!!!,É usado para desqualificar o alvo,Invalidação,Mapa da Violência Política de Gênero
demagoga,"@SimoneTebetms Demagoga!  O dinheiro é do pagador de impostos, ele não brota do chão e nem cai de arvore.",Questiona a moral do alvo,Crítica,Mapa da Violência Política de Gênero
pare de ser (.*)/ para de ser (.*),@SimoneTebetms Pare de ser ridícula! O cara não se sujeitou às imposições dos cretinos!,É usado para desqualificar o alvo,Insulto,Mapa da Violência Política de Gênero
nojenta,@SimoneTebetms Que mulher nojenta,Manifesta sentimentos de nojo contra o alvo,Insulto,Mapa da Violência Política de Gênero
xiu ,@SimoneTebetms Xiu Simone Tablet. Vocês são uma vergonha para o País. Gracas a Deus este é seu ultimo mandato.,Indica que o alvo não deve se manifestar ou tecer opiniões,Invalidação,Mapa da Violência Política de Gênero
não vejo a (.*) fazendo algo útil,@SorayaThronicke Não vejo a senhora fazendo algo de útil ao país. E sair em fotos com um Comunista como este embaixador pra mim foi a cereja do bolo. Mais uma máscara que cai...,Insinua que o alvo é desimportante,Crítica,Mapa da Violência Política de Gênero
(.*) foi eleita na aba do (.*),"@SorayaThronicke Sou de \direita\ e \conservadora\, amo a \democracia\ mas amo mais o Comunismo Chinês. Traidora, foi eleita na aba do Bolsonaro, nas próximas eleições iremos lembrar disso todos os dias https://t.co/qTuLsMaEAm","Insinua que o alvo só conseguiu algo devido a um terceiro, geralmente homem.",Invalidação,Mapa da Violência Política de Gênero
pobreza intelectual,@tabataamaralsp @UOL Pobreza intelectual de vocês! Que vergonha!,É usado para desqualificar o alvo,Invalidação,Mapa da Violência Política de Gênero
é só (.*) mandar que (.*) corre para (.*),@tabataamaralsp Mas é só ele mandar uma privatizaçãozinha para o congresso que você corre para apoiar 👍🏼,"Insinua que o alvo só conseguiu algo devido a um terceiro, geralmente homem.",Invalidação,Mapa da Violência Política de Gênero
mentirosa,@tabataamaralsp Mentiroooooosaaa rss,É usado para desqualificar o alvo,Invalidação,Mapa da Violência Política de Gênero
volta pra escola/ voltar pra escola,"@tabataamaralsp Pode voltar pra escola, você não sabe de nada",É usado para desqualificar o alvo,Invalidação,Mapa da Violência Política de Gênero
💩,@tabataamaralsp Vc só fala 💩💩💩,Insinua que o alvo fala bobeiras,Invalidação,Mapa da Violência Política de Gênero
88,88,É usado em um contexto de apologia ao nazismo,Discurso de Ódio,"Prado, M. (2023). Tempestade ideológica"
♋ ,♋ ,Faz referência a uma posição sexual,Insulto,Wikihow
⚽️⚽️,⚽️⚽️,Faz referência aos seios da mulher ou aos testículos do homem,NA,Wikihow
✂️,✂️,Faz referência a uma posição sexual comum entre mulheres lésbicas,Insulto,Wikihow
🌭,🌭,Faz referência ao órgão genital masculino,Insulto,Wikihow
🌮,🌮,Faz referência ao órgão genital feminino,NA,Wikihow
🌶,🌶,Faz referência ao sexo ou a sexting,NA,Wikihow
🍆,🍆,Faz referência ao órgão genital masculino,Insulto,Wikihow
🍈🍈,🍈🍈,Faz referência aos seios da mulher ou aos testículos do homem,NA,Wikihow
🍌,🍌,É usado como ofensa racista ou em referência ao órgão genital masculino,Discurso de Ódio,Wikihow
🍐,🍐,Faz referência aos glúteos ou ao sexo anal,NA,Wikihow
🍑,🍑,É usado para sexualizar o alvo ou em referência aos glúteos ou ao sexo anal,Insulto,Wikihow
🍒,🍒,Faz referência aos glúteos ou ao sexo anal,NA,Wikihow
🍣,🍣,Faz referência ao órgão genital feminino,NA,Wikihow
🍩,🍩,Faz referência a uma posição sexual,Insulto,Wikihow
